YEAR,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,ANNUAL
2016,,,19.8,17,16,12.8,11.7,11,13.7,14.6,16.3,17.3,
2017,18.7,20.1,19.3,17.4,13.8,12.1,11,12.6,13.6,15.2,16.9,20.2,15.9
2018,22.2,20.9,20,16.8,14.5,11.6,10.8,11.9,13.1,14,16.2,18.9,15.9
2019,21.2,20.5,19.8,15.6,14.8,10.4,10.6,10.8,12.7,14.5,17.2,18.8,15.6
2020,19.6,21.1,18.6,16.2,14,13.2,11.6,12.3,12.9,15.5,16.9,18.5,15.9
2021,19.7,20,19,16.7,14.5,13.5,11.4,12.2,13.1,15.6,18.1,20.9,16.2
2022,21.2,21.9,20.3,17.8,15.2,13.4,13.1,12.8,13.4,15.1,17.7,19.6,16.8
2023,20.5,20.2,17.9,18.1,16.2,12.6,12.3,10.6,14.3,15.5,16.6,19.7,16.2
2024,21.5,20.3,17.6,16.7,12.8,13.4,11.3,12,,14.9,16.8,19.5,
2025,19.7,21.4,18.5,18.7,,,,,,,,,
