YEAR,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,ANNUAL
2002,,,,,,,,,,,13.6,16.1,
2003,15.6,15.5,15,9.7,9.3,7.8,4.6,6.3,9.1,9.8,12.1,15.5,10.9
2004,17.4,15,13.6,10,9.9,7.6,4.4,5.3,8.6,11.7,14.4,13.3,10.9
2005,17.6,18.7,15.4,12,10.1,6.5,7.8,9.4,10.7,11.7,13.9,17.4,12.6
2006,17.3,17.2,13.2,14.4,9.7,5.5,6.5,8.1,11.8,,13.8,13.8,
2007,16.3,16.9,16.5,12.3,12.5,6.4,6.8,7.9,10.3,12,14.2,17.2,12.4
2008,18.9,17.9,16.8,13.7,8.3,7.7,7.3,6.7,10.5,11.9,14.5,15.7,12.5
2009,18.6,15.9,14.6,12.7,7.7,6.5,6.2,10,10.8,10.7,14.3,16.1,12
2010,17.1,17.7,16.4,14.2,10.7,7,6.3,9,11.4,12.4,15.8,18.7,13.1
2011,18.1,18.1,16,12.1,11.8,8.5,5.8,6.9,9.4,11.9,13.8,15.7,12.3
2012,16.6,16.1,14,12.4,9.2,5.7,6.6,9.5,11,12.4,12.7,18,12
2013,18.4,17.3,16.6,12.9,9.5,7,8.1,9.8,10.3,13.5,15.2,17.2,13
2014,16.9,17.5,14.7,13.1,10.4,8.4,6.7,7.7,10.1,12.8,14.8,16.2,12.4
2015,19.1,17.9,16.9,14.4,11.1,7.8,7.2,8.4,9.9,13.7,15.1,16.8,13.2
2016,17.8,20.7,17.3,14.2,13.2,9.6,8.5,8.1,11.8,13.7,15.4,17.1,14
2017,18.4,17.9,15.5,13.1,8.9,7.7,6.8,9.3,11.7,13.3,15.4,18.8,13.1
2018,20.2,18,16.8,12.3,10.3,7.9,8.1,9,10.4,12.2,14.2,16.6,13
2019,19.9,18.6,17.5,12.7,11.5,6.9,8.6,8.1,10.5,11.9,16.8,16.9,13.3
2020,18.2,18.9,14.8,13.8,10.8,8.6,7.4,9.6,11.3,13.9,15,16.6,13.2
2021,18.3,17.8,16.5,14,10.6,8.8,7.7,8.9,10.6,13.2,15.1,16.8,13.2
2022,18.2,17,16.4,,11,8.2,6.9,9.2,10.8,12.1,16.2,,
2023,,19.5,15.7,13.7,11.8,9.1,7.3,7.5,12,12.8,14.6,17.6,
2024,19.4,17.8,14.5,12.9,7.4,8.1,7.2,8.5,11.3,13.3,15.3,18,12.8
2025,16.2,18,16.6,13.8,,,,,,,,,
